id,topic,type,question_text,model_answer,model_answer_python,options,correctAnswerIndex,order_important,created_at
p1,programming-fundamentals,code,"A character moves along a straight path, and its current position is stored as an integer.

The character can move either left or right. Each move changes the position by 5 units:
- Moving left subtracts 5 from the position
- Moving right adds 5 to the position

The position must always stay between 1 and 512 inclusive.

Write a pseudocode function `moveCharacter()` that:
• accepts `direction` (a string) and `position` (an integer) as parameters
• adjusts the position based on the direction
• ensures the new position stays within the range 1 to 512
• returns the new position","function moveCharacter(direction, position)
   if direction == ""left"" then
      position = position - 5
   elseif direction == ""right"" then
      position = position + 5
   endif

   if position < 1 then
      position = 1
   elseif position > 512 then
      position = 512
   endif

   return position
endfunction","def move_character(direction: str, position: int) -> int:
    if direction == ""left"":
        position -= 5
    elif direction == ""right"":
        position += 5

    if position < 1:
        position = 1
    elif position > 512:
        position = 512

    return position",2025-05-02T00:00:00Z
p2,programming-fundamentals,code,"A program stores a user's score as an integer. If the score is divisible by 3, a bonus of 10 is added. If the score is even, it is doubled.

Write a pseudocode function `updateScore(score)` that:
• takes `score` as a parameter
• adds 10 if it is divisible by 3
• doubles the score if it is even
• returns the updated score","function updateScore(score)
   if score MOD 3 == 0 then
      score = score + 10
   endif

   if score MOD 2 == 0 then
      score = score * 2
   endif

   return score
endfunction","def update_score(score: int) -> int:
    if score % 3 == 0:
        score += 10

    if score % 2 == 0:
        score *= 2

    return score",2025-05-02T00:00:00Z
p3,programming-fundamentals,code,"Write a pseudocode program that:
• asks the user to input a number
• repeats this until the user inputs a number greater than 100
• prints 'Valid' once a number greater than 100 is entered","number = 0
while number <= 100
   number = input(""Enter a number greater than 100: ""
endwhile
print(""Valid"")","number = 0
while number <= 100:
    number = int(input(""Enter a number greater than 100: ""))
print(""Valid"")",2025-05-02T00:00:00Z
p4,programming-fundamentals,code,"Write a pseudocode function `checkAge(age)` that:
• takes `age` as an integer parameter
• prints 'Child' if age is less than 13
• prints 'Teen' if age is between 13 and 19 inclusive
• prints 'Adult' otherwise","function checkAge(age)
   if age < 13 then
      print(""Child"")
   elseif age >= 13 AND age <= 19 then
      print(""Teen"")
   else
      print(""Adult"")
   endif
endfunction","def check_age(age: int) -> None:
    if age < 13:
        print(""Child"")
    elif 13 <= age <= 19:
        print(""Teen"")
    else:
        print(""Adult"")",2025-05-02T00:00:00Z
p5,programming-fundamentals,code,"Write a pseudocode function `calculatePower(base, exponent)` that:
• takes two integer parameters
• uses a loop to calculate and return `base` to the power of `exponent` without using ^","function calculatePower(base, exponent)
   result = 1
   for i = 1 to exponent
      result = result * base
   next i
   return result
endfunction","def calculate_power(base: int, exponent: int) -> int:
    result = 1
    for i in range(exponent):
        result *= base
    return result",2025-05-02T00:00:00Z
p6,programming-fundamentals,code,"Write a pseudocode procedure `greetUser(name)` that:
• takes a name as a parameter
• prints 'Hello' followed by the name
• prints 'Welcome to the system'","procedure greetUser(name)
   print(""Hello "" + name)
   print(""Welcome to the system"")
endprocedure","def greet_user(name: str) -> None:
    print(f""Hello {name}"")
    print(""Welcome to the system"")",2025-05-02T00:00:00Z
p7,programming-fundamentals,code,"Write a pseudocode procedure `countdown(n)` that:
• takes an integer parameter
• prints each number from n to 1
• prints 'Go!' at the end","procedure countdown(n)
   for i = n to 1 step -1
      print(i)
   next i
   print(""Go!"")
endprocedure","def countdown(n: int) -> None:
    for i in range(n, 0, -1):
        print(i)
    print(""Go!"")",2025-05-02T00:00:00Z
p8,programming-fundamentals,code,"Write a pseudocode procedure `printMultiples(n)` that:
• takes a number n
• prints the first 5 multiples of n (n, 2n, 3n, 4n, 5n)","procedure printMultiples(n)
   for i = 1 to 5
      print(n * i)
   next i
endprocedure","def print_multiples(n: int) -> None:
    for i in range(1, 6):
        print(n * i)",2025-05-02T00:00:00Z
p9,programming-fundamentals,code,"Write a pseudocode procedure `printRange(startNum, endNum)` that:
• prints each integer between startNum and endNum inclusive
• prints 'Done' when finished","procedure printRange(startNum, endNum)
   for i = startNum to endNum
      print(i)
   next i
   print(""Done"")
endprocedure","def print_range(start_num: int, end_num: int) -> None:
    for i in range(start_num, end_num + 1):
        print(i)
    print(""Done"")",2025-05-02T00:00:00Z
p10,programming-fundamentals,code,"Write a pseudocode program that:
• asks the user to enter an integer
• prints 'Even' if the number is divisible by 2
• prints 'Odd' otherwise","number = input(""Enter a number: ""
if number MOD 2 == 0 then
   print(""Even"")
else
   print(""Odd"")
endif","number = int(input(""Enter a number: ""))
if number % 2 == 0:
    print(""Even"")
else:
    print(""Odd"")",2025-05-02T00:00:00Z
